sigla_uf,situacao_domicilio,comodos,condicao_domicilio,banheiros,moradores,homens,mulheres,agua,coleta_lixo,iluminacao,radio,geladeira,videocassete,maquina_lavar,microondas,telefone,computador,televisores,automoveis,ar_condicionado,iluminacao_publica,pavimentacao,rendimento
PR,1,8,1,2,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,500
SC,1,11,3,2,5,3,2,1,1,1,1,1,2,2,2,2,2,2,0,0,5,,500
PR,1,5,3,1,2,0,2,1,1,1,1,1,2,2,2,1,2,0,0,0,2,1,690
SC,1,6,3,1,6,2,4,1,1,1,1,1,2,1,2,1,2,1,0,0,6,,1150
AL,1,3,3,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,0,0,2,3,151
SP,1,3,4,1,1,1,0,1,1,1,1,1,2,2,2,2,2,0,0,0,1,3,400
MG,1,7,3,1,1,0,1,1,1,1,1,1,2,1,2,1,2,1,0,0,1,1,580
SP,1,4,1,1,5,4,1,1,1,1,1,1,2,2,2,1,2,1,0,0,5,1,500
BA,1,5,1,1,4,1,3,1,1,1,1,1,2,2,2,2,2,1,0,0,4,1,491
PR,2,5,1,1,4,3,1,1,1,1,1,1,1,2,2,2,2,1,1,0,4,2,1200
SC,2,7,1,2,4,1,3,2,3,1,1,1,2,1,2,2,2,1,1,0,4,,150
RJ,1,5,3,1,3,1,2,2,1,1,1,1,1,2,2,2,2,1,1,0,3,3,450
MG,1,6,3,1,7,5,2,1,1,1,1,1,2,2,2,1,2,1,0,0,7,1,596
PR,1,9,1,2,5,3,2,1,1,1,1,1,1,1,2,2,1,2,1,0,5,1,3000
PE,1,5,1,1,1,0,1,1,1,1,1,2,2,2,2,2,2,1,0,0,1,,151
CE,1,4,3,0,1,0,1,1,1,1,1,2,2,2,2,2,2,1,0,0,1,1,151
RS,1,4,2,1,4,2,2,1,1,1,1,1,1,2,2,2,2,1,1,0,4,1,552
MG,1,7,1,2,4,2,2,1,1,1,1,1,1,1,2,1,1,3,1,0,4,1,1600
SP,1,7,1,2,3,1,2,1,1,1,1,1,2,1,1,1,2,2,1,0,3,1,924
BA,2,8,1,0,6,3,3,1,5,1,1,2,2,2,2,2,2,2,0,0,6,3,160
SP,1,6,2,1,4,3,1,1,1,1,1,1,1,1,2,1,2,2,0,0,4,1,945
MG,1,5,3,1,3,2,1,1,1,1,1,1,2,1,2,2,2,1,1,0,3,1,500
MS,1,3,1,0,6,3,3,1,1,1,1,1,2,2,2,2,2,1,0,0,6,3,300
SP,1,5,5,1,5,2,3,1,2,1,1,1,2,1,1,2,2,1,0,0,5,9,300
AL,2,4,1,0,5,2,3,3,5,1,1,1,2,2,2,2,2,1,0,0,5,3,50
PE,1,8,1,2,3,1,2,1,1,1,1,1,1,2,2,1,2,3,0,0,3,,1500
GO,1,5,2,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,0,0,2,3,350
SC,1,6,1,1,2,0,2,1,3,1,1,1,2,1,2,1,2,1,0,0,2,,502
SP,1,8,1,2,5,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,5,1,2076
BA,1,3,1,0,1,1,0,1,1,1,2,1,2,2,2,2,2,1,0,0,1,3,151
AL,1,4,3,1,2,0,2,1,1,1,1,1,2,2,2,2,2,1,0,0,2,3,200
RJ,1,7,1,2,3,2,1,1,1,1,1,1,2,2,1,1,1,3,2,0,3,1,5550
SP,1,7,2,2,4,2,2,1,1,1,1,1,1,1,1,1,2,1,1,0,4,1,1780
PB,1,6,1,0,4,2,2,1,2,1,1,2,2,2,2,2,2,0,0,0,4,3,151
RN,1,11,1,4,4,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,2251
PR,1,2,3,1,1,0,1,1,1,1,2,2,2,2,2,2,2,0,0,0,1,1,70
SC,1,11,1,1,3,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,3,,7770
MG,1,7,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,1,0,4,1,830
MA,1,8,1,1,3,1,2,1,2,1,1,1,2,2,2,2,2,1,0,0,3,1,633
PA,1,6,1,0,4,1,3,1,1,1,2,1,1,2,2,2,2,1,0,0,4,1,151
MG,2,7,1,1,3,2,1,2,3,1,1,1,2,2,2,2,2,1,0,0,3,3,650
BA,1,5,3,1,5,1,4,1,1,1,1,2,2,2,2,2,2,1,0,0,5,3,80
MG,1,8,1,1,4,3,1,1,1,1,1,1,1,2,2,1,2,2,1,0,4,1,1200
PA,2,2,1,0,4,2,2,1,3,1,2,1,2,2,2,2,2,1,0,0,4,9,300
PA,1,1,6,0,5,3,2,2,5,1,1,1,2,2,2,2,2,1,0,0,5,3,381
SP,1,5,2,1,6,2,4,1,1,1,1,1,2,2,2,1,2,2,0,0,6,1,400
SP,1,12,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,2,1,4460
BA,1,6,1,1,6,5,1,1,5,1,1,1,2,2,2,2,2,1,0,0,6,3,408
MG,2,13,1,0,8,3,5,2,3,2,1,2,2,2,2,2,2,1,0,0,8,3,251
SP,1,5,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,0,0,2,1,479
RN,1,5,2,1,3,1,2,1,1,1,1,1,1,2,2,2,2,1,0,0,3,3,750
RJ,1,5,3,1,5,2,3,1,1,1,1,1,1,1,2,2,2,1,0,0,5,1,2900
GO,1,9,1,1,5,4,1,1,1,1,2,1,2,1,2,2,2,1,0,0,5,1,610
MG,2,8,1,1,6,3,3,2,3,1,1,2,2,2,2,2,2,1,1,0,6,3,2000
AL,1,6,1,2,3,2,1,1,1,1,1,1,1,2,2,2,2,1,0,0,3,3,350
RS,1,4,1,0,4,3,1,2,1,1,1,1,2,1,2,2,2,1,0,0,4,3,501
SP,1,6,3,1,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,0,3,1,1700
PR,2,6,4,1,2,1,1,2,3,1,1,1,2,2,2,2,2,1,1,0,2,3,290
MG,1,8,3,2,2,1,1,1,1,1,1,1,1,1,2,1,2,2,0,2,2,2,710
RN,2,5,1,0,5,3,2,1,3,1,1,1,2,2,2,2,2,1,0,0,5,9,211
SP,1,11,1,3,3,0,3,1,1,1,1,1,1,1,1,1,2,2,1,0,3,1,2780
MA,2,15,1,7,5,3,2,2,3,1,1,1,1,1,1,1,1,4,2,3,5,1,4800
RJ,1,3,1,1,4,3,1,1,3,1,2,1,2,2,2,2,2,2,0,0,4,3,2240
BA,1,7,1,2,5,1,4,1,1,1,1,1,2,2,2,1,2,1,1,0,5,1,863
GO,1,5,1,1,6,3,3,1,1,1,1,1,2,1,2,1,2,2,0,0,6,1,583
AP,1,10,1,2,6,2,4,1,1,1,1,1,2,1,1,1,1,1,1,2,6,1,3353
PI,2,3,1,0,3,1,2,2,5,2,1,2,2,2,2,2,2,0,0,0,3,3,10
BA,2,9,1,0,8,3,5,1,5,2,1,2,2,2,2,2,2,0,0,0,8,3,105
PR,1,3,5,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,2,1,151
RN,1,6,1,1,4,3,1,1,1,1,1,1,2,1,2,1,2,2,0,0,4,3,1096
PR,1,5,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0,3,1,2400
SP,1,8,1,2,4,2,2,1,1,1,1,1,2,1,2,1,2,2,1,0,4,1,1900
SP,2,4,2,1,4,1,3,1,1,1,1,1,1,1,2,2,2,1,0,0,4,1,395
BA,1,4,3,1,3,1,2,1,1,1,1,2,2,2,2,2,2,0,0,0,3,3,100
PI,1,5,1,0,4,3,1,1,1,1,1,1,2,2,2,2,2,1,0,0,4,1,302
PR,2,6,3,1,4,2,2,1,1,1,1,1,2,2,2,2,2,1,0,0,4,1,453
AM,1,3,1,1,7,3,4,1,1,1,1,1,2,1,2,1,2,1,0,0,7,1,700
SC,2,7,1,1,3,2,1,2,1,1,1,1,2,2,2,2,2,1,0,0,3,,223
PA,1,3,1,0,6,4,2,1,3,1,1,1,2,2,2,2,2,0,0,0,6,3,400
SP,1,5,1,1,4,3,1,1,1,1,1,1,1,2,2,1,2,2,1,0,4,1,1200
CE,1,4,5,0,1,0,1,1,1,1,2,2,2,2,2,2,2,0,0,0,1,2,80
BA,1,6,1,1,9,5,4,1,1,1,1,2,2,2,2,2,2,1,0,0,9,3,294
MG,1,5,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,0,0,2,1,571
PR,1,7,2,1,5,2,3,1,1,1,1,1,2,1,2,1,2,2,1,0,5,3,893
RJ,1,4,1,1,3,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,3,1,995
CE,2,4,5,0,5,1,4,2,5,1,1,2,2,2,2,2,2,1,1,0,5,3,230
BA,1,6,1,0,3,2,1,1,3,1,1,2,2,2,2,2,2,1,0,0,3,3,135
RS,1,7,1,2,5,3,2,1,1,1,1,1,1,1,2,1,2,2,1,0,5,1,800
RS,1,4,3,1,3,1,2,1,1,1,1,1,2,2,2,2,2,1,0,0,3,1,380
BA,2,5,1,1,4,1,3,3,1,1,1,2,2,2,2,2,2,1,0,0,4,3,300
BA,1,5,2,1,5,3,2,1,1,1,1,1,2,1,1,2,2,1,0,0,5,1,600
